연도,시도,시군구,생활용-개소수,생활용-이용량,공업용-개소수,공업용-이용량,농업용-개소수,농업용-이용량,기타용-개소수,기타용-이용량
2008,부산광역시,강서구,158,420515,3,104536,70,267793,0,0
2008,부산광역시,금정구,1136,3954586,27,268348,51,193862,198,581294
2008,부산광역시,기장군,996,3331620,30,202662,466,2456962,5,51020
2008,부산광역시,남구,426,1455338,21,9670,14,44548,0,0
2008,부산광역시,동구,88,438230,1,365,1,913,0,0
2008,부산광역시,동래구,734,2283352,4,26966,5,4224,39,308833
2008,부산광역시,부산진구,666,2927736,10,18982,9,31628,0,0
2008,부산광역시,북구,482,1689636,1,3832,3,2921,0,0
2008,부산광역시,사상구,288,1216734,28,108245,0,0,19,26960
2008,부산광역시,사하구,439,2859471,45,175910,2,5773,0,0
2008,부산광역시,서구,242,957739,10,49312,5,35059,0,0
2008,부산광역시,수영구,322,1374658,11,35202,11,46585,11,26222
2008,부산광역시,연제구,406,2031440,5,8344,2,7665,0,0
2008,부산광역시,영도구,230,848764,5,21598,1,256,0,0
2008,부산광역시,중구,88,465805,0,0,2,6142,0,0
2008,부산광역시,해운대구,651,2365519,11,152464,5,18648,10,990000
2008,서울특별시,강남구,396,1330481,29,250737,1106,657575,0,0
2008,서울특별시,강동구,399,1076293,0,0,459,544838,0,0
2008,서울특별시,강북구,506,645967,0,0,0,0,0,0
2008,서울특별시,강서구,555,2746343,6,35372,74,266412,0,0
2008,서울특별시,관악구,197,374575,9,10395,2,2264,0,0
2008,서울특별시,광진구,134,669770,0,0,1,1049,3,58382
2008,서울특별시,구로구,288,597126,14,33772,19,838,0,0
2008,서울특별시,금천구,150,331532,13,13024,0,0,0,0
2008,서울특별시,노원구,352,1832296,8,19125,18,5457,1,0
2008,서울특별시,도봉구,461,614426,15,23122,68,34929,0,0
2008,서울특별시,동대문구,442,778810,14,15114,6,28178,2,3131
2008,서울특별시,동작구,138,675902,6,3101,3,1174,2,1982
2008,서울특별시,마포구,154,428664,4,4577,8,7281,2,1460
2008,서울특별시,서대문구,280,544023,15,15657,4,2313,1,4609
2008,서울특별시,서초구,495,1133526,34,109864,1106,629629,24,377807
2008,서울특별시,성동구,102,239156,62,279820,0,0,5,26617
2008,서울특별시,성북구,237,397922,15,25574,1,74,0,0
2008,서울특별시,송파구,314,1672035,38,62910,396,402519,0,0
2008,서울특별시,양천구,319,790889,12,23265,2,0,0,0
2008,서울특별시,영등포구,225,1322504,18,186947,11,11983,0,0
2008,서울특별시,용산구,119,463749,11,27097,0,0,0,0
2008,서울특별시,은평구,348,844902,2,3178,17,4109,0,0
2008,서울특별시,종로구,169,706153,2,268,3,73,23,23611
2008,서울특별시,중구,159,1099880,4,11375,0,0,0,0
2008,서울특별시,중랑구,210,527940,15,33027,17,16037,11,44030
2008,울산광역시,남구,428,2574107,23,237097,22,121534,1,10591
2008,울산광역시,동구,246,1672415,0,0,9,588,0,0
2008,울산광역시,북구,452,3292167,26,311710,125,1151343,0,0
2008,울산광역시,울주군,2412,29998234,130,1954068,813,6151256,43,436710
2008,울산광역시,중구,169,2013966,0,0,22,217646,17,193260
2008,인천광역시,강화군,2967,10900256,30,345071,1818,3390242,5,18810
2008,인천광역시,계양구,1375,2813500,56,162156,261,859848,0,0
2008,인천광역시,미추홀구,381,730730,1,730,0,0,0,0
2008,인천광역시,남동구,184,989635,12,77833,208,455704,0,0
2008,인천광역시,동구,44,112357,5,20683,0,0,1,0
2008,인천광역시,부평구,698,5040865,46,415370,5,31390,0,0
2008,인천광역시,서구,569,1334014,13,85399,115,343003,0,0
2008,인천광역시,연수구,138,541931,0,0,5,148078,0,0
2008,인천광역시,옹진군,527,3440406,16,218787,279,1050512,6,51602
2008,인천광역시,중구,1600,5100950,2,32850,618,7119826,74,396322
2008,전라남도,강진군,2476,6255308,28,213473,4233,14812448,6,23235
2008,전라남도,고흥군,5181,7467201,74,855858,9775,50408977,28,232080
2008,전라남도,곡성군,13754,15834742,45,875393,7210,18116075,10,127850
